age,gender,year,city,cause,pop,pov,urate,college,VictimID
37,Male,2015,Aurora,Gunshot,6415,23.9,0.172646427,0.114899926,342
37,Female,2015,Fairfax,Taser,7408,5.6,0.016203704,0.716906946,343
33,Male,2015,Ville Platte,Gunshot,1977,18.5,0.02987013,0.122131148,344
35,Male,2015,Mounds,Gunshot,6888,14.1,0.08040201,0.125871172,345
40,Male,2015,Webster,Gunshot,3776,16.7,0.134320175,0.158213475,346
21,Male,2015,Cerritos,Gunshot,5931,1.5,0.056978002,0.556167665,347
30,Male,2015,Des Moines,Gunshot,3687,31.3,0.127948113,0.042051282,348
23,Male,2015,Atlanta,Gunshot,3574,6.9,0.033260234,0.543604651,349
26,Male,2015,Phoenix,Gunshot,4829,57.1,0.206933333,0.035050676,350
39,Female,2015,Gillette,Gunshot,8988,8.7,0.04654387,0.212288574,351
33,Male,2015,San Antonio,Taser,4542,5.2,0.047184774,0.355059417,352
34,Female,2015,Ridgefield Park,Struck by vehicle,8810,9.3,0.066434996,0.487170943,353
37,Male,2015,New Orleans,Gunshot,1345,54.6,0.324444444,0.039319872,354
26,Male,2015,Pueblo,Gunshot,5747,22.1,0.171932403,0.211460151,355
24,Male,2015,Los Angeles,Gunshot,3040,25.5,0.103303862,0.560435572,356
25,Male,2015,Stockton,Gunshot,7323,29.4,0.265224111,0.049474494,357
31,Male,2015,Anaheim,Gunshot,9738,22.4,0.123324397,0.253384913,358
49,Male,2015,Weymouth,Gunshot,3902,4.7,0.093385214,0.364356436,359
59,Male,2015,Chino,Gunshot,8960,6,0.138940153,0.512849414,360
50,Male,2015,Del Rio,Gunshot,7556,24.5,0.053399923,0.136064165,361
37,Male,2015,Vallejo,Gunshot,7099,5.6,0.108266073,0.350836333,362
28,Male,2015,Boiling Springs,Gunshot,6309,9.7,0.077569308,0.231973313,363
26,Male,2015,Houston,Gunshot,2802,6.3,0.094994312,0.351817622,364
23,Male,2015,San Jose,Gunshot,4866,32.2,0.083946344,0.112262522,365
32,Male,2015,Vineland,Death in custody,7621,34.3,0.11842919,0.075572519,366
24,Male,2015,Bloomington,Gunshot,6185,6.9,0.049067982,0.622360248,367
42,Male,2015,Stillwater,Gunshot,4908,34,0.066425993,0.284542314,368
34,Male,2015,Kansas City,Taser,1990,45.3,0.258571429,0.036484245,369
68,Male,2015,Minneapolis,Gunshot,4836,8.7,0.112132353,0.264764622,370
31,Male,2015,Fort Worth,Gunshot,4321,26.7,0.08373079,0.068349515,371
83,Male,2015,Newalla,Gunshot,5410,8,0.066806576,0.150948367,372
35,Male,2015,Reading,Gunshot,4017,36.6,0.139742873,0.068331143,373
29,Male,2015,San Antonio,Gunshot,3679,21.7,0.074115665,0.240572172,374
50,Male,2015,Rochester,Taser,1271,49.9,0.259259259,0.09653092,375
56,Male,2015,Tehachapi,Gunshot,6657,11.5,0.113105925,0.107372482,376
43,Male,2015,Jourdanton,Gunshot,6033,10,0.064629434,0.163523637,377
38,Male,2015,Topeka,Gunshot,5378,10.4,0.045649073,0.366545265,378
63,Male,2015,Kenner,Gunshot,0,-,,,379
27,Male,2015,Fort Meade,Gunshot,1610,3.2,0.095238095,0.474940334,380
36,Male,2015,Kennewick,Gunshot,4284,20.5,0.0830373,0.128080808,381
55,Male,2015,Grants Pass,Gunshot,2186,16,0.138248848,0.247411444,382
36,Male,2015,Bakersfield,Gunshot,3921,23.1,0.117837838,0.070159027,383
68,Male,2015,Lake Jackson,Gunshot,6016,8.6,0.051835853,0.170081392,384
61,Male,2015,Austin,Gunshot,7456,11.5,0.081466763,0.428831012,385
46,Male,2015,Pulaski,Gunshot,3721,21.8,0.083866837,0.118260244,386
47,Male,2015,Denham Springs,Gunshot,5375,10.8,0.065487392,0.204924761,387
26,Male,2015,Peebles,Gunshot,4430,18.2,0.177073171,0.086883596,388
37,Male,2015,Hawthorne,Gunshot,2666,7.4,0.081118881,0.252503954,389
22,Male,2015,Rio Linda,Gunshot,4315,11.2,0.11952862,0.173560108,390
18,Male,2015,Key Largo,Unknown,2355,16.4,0.081262592,0.313959028,391
39,Male,2015,Los Angeles,Gunshot,5158,38.5,0.218400688,0.065922921,392
49,Male,2015,Gulfport,Gunshot,2923,47.1,0.127254509,0.088779956,393
23,Male,2015,Tulsa,Gunshot,3300,26.7,0.080686695,0.408774373,394
47,Male,2015,Shafter,Gunshot,4932,18.8,0.078510317,0.13387151,395
32,Male,2015,Freeport,Gunshot,6118,18.4,0.12814412,0.077154583,396
45,Male,2015,Harvey,Gunshot,4279,30.2,0.212271153,0.11542814,397
51,Male,2015,Laredo,Gunshot,3999,17.4,0.057938719,0.206791467,398
31,Male,2015,Euless,Gunshot,5917,2.9,0.06846473,0.411525586,399
54,Male,2015,Pasco,Death in custody,6747,35.9,0.131743119,0.057256583,400
31,Male,2015,Kingman,Gunshot,6001,16.2,0.149595213,0.141590679,401
23,Male,2015,Pomona,Gunshot,3755,39.3,0.122121424,0.201408451,402
29,Male,2015,Las Vegas,Gunshot,4993,22.9,0.140275387,0.039349224,403
28,Male,2015,Phoenix,Gunshot,4579,39.7,0.149219467,0.244320298,404
31,Male,2015,Fridley,Gunshot,2459,10.6,0.108108108,0.164179104,405
24,Male,2015,Mission,Gunshot,5449,30.2,0.118733509,0.06231454,406
27,Male,2015,Austin,Gunshot,8776,7.3,0.069404151,0.636127355,407
57,Male,2015,San Jose,Gunshot,4026,17.1,0.115249119,0.156238291,408
39,Male,2015,Middletown,Gunshot,5447,5.3,0.097529259,0.211101996,409
38,Male,2015,Portage,Gunshot,5543,7.1,0.071646341,0.454371585,410
34,Male,2015,Burbank,Gunshot,7914,6.8,0.085368162,0.502911679,411
39,Male,2015,Moulton,Gunshot,5791,17,0.168279344,0.068518038,412
20,Male,2015,Joliet,Gunshot,3362,37.5,0.152272727,0.070552147,413
35,Male,2015,Kearny,Gunshot,2747,19.5,0.078651685,0.080141129,414
36,Male,2015,Hamilton Township,Gunshot,7010,15.2,0.135890272,0.185093874,415
38,Male,2015,Honolulu,Taser,403,20.1,0.231788079,0.272237197,416
33,Male,2015,Alpine,Gunshot,7371,19.2,0.090909091,0.227392739,417
57,Male,2015,Minneapolis,Taser,3081,23,0.101226994,0.206444566,418
38,Male,2015,Birmingham,Gunshot,3681,23.2,0.052918942,0.405676127,419
72,Male,2015,CaÌ_å±on City,Gunshot,2868,16.8,0.109414758,0.223813112,420
37,Female,2015,La Paz County,Gunshot,1548,31.2,0.138238573,0.39089969,421
47,Male,2015,Tacoma,Gunshot,2758,24.5,0.12909699,0.131484335,422
43,Male,2015,Meridian,Taser,7590,11,0.098382749,0.140836771,423
37,Male,2015,Fond du Lac,Gunshot,6145,26.6,0.109457093,0.142972319,424
75,Male,2015,Old Bridge Township,Gunshot,1753,14.3,0.075431034,0.22251773,425
21,Male,2015,Muskogee,Gunshot,1925,51.8,0.094752187,0.106906339,426
20,Male,2015,Detroit,Gunshot,3501,53.8,0.181212525,0.120189773,427
29,Male,2015,Mansfield,Taser,2326,40.3,0.177252585,0.066876475,428
37,Male,2015,Elkton,Gunshot,3737,4.5,0.134502924,0.151760228,429
41,Male,2015,Tulsa,Taser,3630,7.5,0.068774265,0.166792169,430
22,Male,2015,Miami,Gunshot,5246,42.5,0.289340102,0.092167454,431
23,Male,2015,Jennings,Gunshot,7671,25.1,0.268621236,0.166768728,432
64,Male,2015,Cleveland,Gunshot,1548,39.8,0.448074679,0.0675,433
34,Male,2015,St Louis,Gunshot,2150,50.8,0.299757282,0.05115346,434
49,Male,2015,Syracuse,Gunshot,11719,4.4,0.046353872,0.341968068,435
32,Male,2015,South El Monte,Gunshot,3416,13.8,0.015197568,0.072751323,436
25,Male,2015,Sierra Blanca,Gunshot,3394,44.1,0.081601232,0.110399211,437
39,Female,2015,Omaha,Gunshot,2646,5.5,0.028415961,0.496179039,438
53,Male,2015,Shelton,Gunshot,4347,18.4,0.064193168,0.091157703,439
27,Male,2015,Ruidoso,Gunshot,6462,8.4,0.066055046,0.306578153,440
36,Male,2015,Hemet,Gunshot,2886,32,0.216848674,0.08590604,441
20,Male,2015,Trinidad,Gunshot,2024,26.6,0.12590799,0.170926518,442
39,Male,2015,Arcola,Gunshot,3565,14,0.053739612,0.158820941,443
19,Male,2015,Madison,Gunshot,6145,13.3,0.055254849,0.744900197,444
34,Male,2015,Sulphur Springs,Taser,4177,24.3,0.197698745,0.182055101,445
36,Male,2015,Ruth,Gunshot,4980,15.5,0.055140187,0.127942064,446
34,Male,2015,Wapanucka,Gunshot,2032,20.7,0.05624297,0.163706564,447
31,Male,2015,Rigby,Gunshot,10818,9.6,0.06899401,0.19408867,448
45,Male,2015,Milwaukee,Gunshot,2657,11,0.065342729,0.296017223,449
34,Male,2015,Lincoln,Gunshot,5459,19.9,0.055735771,0.362382445,450
Unknown,Male,2015,Mabank,Gunshot,6852,17.9,0.058573298,0.100249066,451
Unknown,Female,2015,Austin,Gunshot,6852,17.9,0.058573298,0.100249066,452
Unknown,Male,2015,Rochester,Gunshot,6852,17.9,0.058573298,0.100249066,453
31,Male,2015,Houston,Gunshot,5065,12.5,0.023561091,0.229678912,454
28,Male,2015,Los Angeles,Gunshot,3862,33.7,0.066431095,0.122007366,455
57,Male,2015,New City,Gunshot,4164,1.9,0.045,0.669916938,456
29,Male,2015,Portsmouth,Gunshot,4996,6.6,0.028934368,0.225789048,457
50,Male,2015,North Charleston,Gunshot,4110,44.1,0.215909091,0.09294998,458
40,Male,2015,Forth Worth,Gunshot,4074,11.2,0.027574564,0.71127026,459
35,Male,2015,Electra,Taser,3507,4,0.034519957,0.169803601,460
53,Male,2015,Hoover,Gunshot,4547,3,0.035916061,0.627631579,461
59,Male,2015,Berlin,Gunshot,5065,7.3,0.14086629,0.236107027,462
18,Male,2015,Portsmouth,Gunshot,1640,35.2,0.152046784,0.12055336,463
28,Male,2015,Tonasket,Taser,4154,27.3,0.133650291,0.174524982,464
52,Male,2015,Gaston,Gunshot,3850,28.5,0.256149733,0.072764228,465
38,Female,2015,Oakland,Gunshot,2544,23.9,0.069601428,0.396475771,466
48,Male,2015,Fremont,Gunshot,5177,6.1,0.0809121,0.435773284,467
