age,gender,year,city,cause,pop,pov,urate,college,VictimID
38,Male,2015,Owensboro,Gunshot,3548,10.9,0.032068063,0.388998035,78
31,Male,2015,Jonesboro,Gunshot,3886,18.2,0.092469018,0.213943194,79
36,Male,2015,Portland,Gunshot,7687,31,0.138262782,0.130825139,80
23,Male,2015,Port Wentworth,Gunshot,18168,12.2,0.050383481,0.479000583,81
38,Male,2015,Winchester,Gunshot,6987,11.6,0.103721571,0.195180723,82
53,Male,2015,Follansbee,Gunshot,3292,14.4,0.13483871,0.167398946,83
24,Male,2015,Provo,Gunshot,6457,20.5,0.071107364,0.25940902,84
26,Male,2015,Rosenberg,Gunshot,10229,19.4,0.068076536,0.113879004,85
28,Male,2015,Columbia,Gunshot,4377,36.2,0.034616881,0.674125874,86
34,Female,2015,Moultrie,Gunshot,3520,14.8,0.140276302,0.200720072,87
28,Male,2015,Jacksonville,Gunshot,11284,20,0.149261335,0.202439778,88
40,Male,2015,Silver Spring,Taser,3121,19.9,0.159026599,0.380490588,89
51,Male,2015,New York,Gunshot,4941,20.1,0.106880138,0.109860116,90
44,Male,2015,Sidney,Gunshot,4293,16.5,0.025311025,0.268360599,91
25,Male,2015,Fort Worth,Gunshot,4917,21.5,0.144497608,0.013547237,92
56,Male,2015,Marana,Gunshot,8205,3,0.079104478,0.423807081,93
37,Male,2015,Lakewood,Gunshot,3531,18,0.131736527,0.142030276,94
58,Male,2015,Clermont,Gunshot,11794,9.4,0.12539185,0.201200343,95
39,Male,2015,Omaha,Gunshot,2314,30.5,0.093378608,0.10933759,96
37,Male,2015,San Manuel,Gunshot,3887,15.7,0.188067445,0.16084788,97
35,Male,2015,Union,Gunshot,4904,10.9,0.1,0.392834891,98
26,Male,2015,Baltimore,Gunshot,1625,51,0.309882747,0.014117647,99
47,Male,2015,Oklahoma City,Taser,1812,33.4,0.203271028,0.081980519,100
31,Male,2015,Hagerstown,Taser,1970,46.7,0.348777349,0.091324201,101
60,Male,2015,Lancaster,Gunshot,5787,18.4,0.148903424,0.162518302,102
32,Male,2015,Rock Island,Gunshot,2023,26.9,0.166843783,0.207425343,103
45,Male,2015,Rexburg,Gunshot,3481,42.4,0.091570649,0.26719057,104
42,Male,2015,Lakeland,Gunshot,5059,14.3,0.155357805,0.258240183,105
17,Male,2015,Grand Junction,Gunshot,2291,25.7,0.079276773,0.261888814,106
22,Male,2015,El Paso,Gunshot,3864,26.2,0.131071191,0.132780083,107
33,Male,2015,Wasco,Gunshot,4934,50.6,0.151145038,0.026600166,108
18,Male,2015,Wake Forest,Gunshot,5100,8.5,0.038598999,0.526623377,109
39,Male,2015,Rockwood,Taser,4596,11.2,0.145936982,0.212507778,110
59,Male,2015,Hanover,Gunshot,4487,7.4,0.034010601,0.267043669,111
33,Male,2015,Muskogee County,Taser,4745,34.7,0.11886697,0.202991453,112
58,Male,2015,Mansfield,Gunshot,2991,8.7,0.037341299,0.141363636,113
58,Male,2015,Constantania,Gunshot,4968,12.9,0.158176944,0.147076372,114
47,Male,2015,Tallulah,Struck by vehicle,3403,43.1,0.192203083,0.123522459,115
41,Male,2015,Branford,Taser,4066,8.3,0.071680376,0.382333768,116
64,Male,2015,Los Angeles,Struck by vehicle,4225,7.3,0.068592058,0.285611251,117
45,Male,2015,Garden Grove,Gunshot,4791,24.3,0.11815301,0.165626027,118
53,Female,2015,Gardner,Gunshot,4643,6.3,0.035865793,0.283661878,119
24,Male,2015,Dublin,Gunshot,6056,26.7,0.116172169,0.12675,120
48,Male,2015,Harvey,Gunshot,4232,38.3,0.057540884,0.14025974,121
29,Male,2015,Lauderhill,Gunshot,6074,26.9,0.160730056,0.182923381,122
40,Male,2015,New York,Death in custody,5169,36.7,0.176021554,0.102324177,123
34,Male,2015,San Diego,Gunshot,5029,10.8,0.056382146,0.385287202,124
21,Male,2015,Bay Shore,Gunshot,8222,4.4,0.109368376,0.240339473,125
26,Male,2015,Deltona,Gunshot,3536,17.4,0.102382486,0.056138934,126
45,Male,2015,Dallas,Gunshot,4044,40.1,0.172051696,0.029108327,127
25,Male,2015,Harvey,Gunshot,3085,39.4,0.018193225,0.108970831,128
17,Male,2015,Roxand Township,Gunshot,3751,8.5,0.090425532,0.168076923,129
24,Male,2015,Santa Clara,Gunshot,6461,9.1,0.107110979,0.348542762,130
42,Male,2015,Scottsdale,Gunshot,4542,10,0.024411135,0.505309505,131
29,Male,2015,Antioch,Gunshot,5072,20.7,0.175749894,0.048747913,132
42,Male,2015,Valdosta,Gunshot,2156,19.3,0.111002921,0.197846568,133
30,Male,2015,Culpeper,Taser,6106,14.8,0.0509487,0.176186645,134
29,Male,2015,Monon,Gunshot,2733,21.8,0.087258687,0.10559723,135
39,Male,2015,Albany,Taser,5335,44.5,0.125672372,0.138646288,136
63,Male,2015,Metropolis,Gunshot,3721,11.3,0.104347826,0.105422829,137
49,Male,2015,Lucedale,Gunshot,6604,22.9,0.105180534,0.095789972,138
41,Male,2015,Spartanburg,Gunshot,3700,26,0.131529264,0.171848739,139
27,Male,2015,Indianapolis,Gunshot,7499,28.9,0.121461408,0.142857143,140
30,Male,2015,Tewksbury,Gunshot,5994,1.8,0.058623619,0.41799308,141
60,Male,2015,San Antonio,Gunshot,8023,15.4,0.09619801,0.117877423,142
77,Male,2015,Birmingham,Gunshot,3708,37.5,0.145048815,0.088550247,143
19,Male,2015,Cottonwood,Gunshot,5206,21.7,0.216194332,0.139520776,144
37,Male,2015,Ontario,Gunshot,5950,7.6,0.160571809,0.163655685,145
54,Male,2015,Randallstown,Gunshot,3070,10.1,0.067278287,0.345549738,146
29,Male,2015,Hemet,Gunshot,2886,32,0.216848674,0.08590604,147
30,Male,2015,Garland,Gunshot,4775,9.2,0.092148913,0.315638907,148
24,Male,2015,Hackensack,Gunshot,6844,11.1,0.032626816,0.34819491,149
21,Male,2015,Cottonwood,Gunshot,5206,21.7,0.216194332,0.139520776,150
44,Male,2015,Tulsa,Gunshot,3300,26.7,0.080686695,0.408774373,151
40,Male,2015,Eagar,Gunshot,5269,16.3,0.059301769,0.097701149,152
32,Male,2015,Shawnee,Gunshot,4681,18,0.053372149,0.170479474,153
22,Male,2015,El Paso,Gunshot,5921,17.8,0.05323741,0.243867655,154
43,Male,2015,Phoenix,Gunshot,3082,39.9,0.12,0.13821938,155
52,Male,2015,Pomona,Gunshot,7528,23.2,0.135651629,0.084254483,156
27,Male,2015,Santa Ana,Gunshot,9699,25.7,0.065989848,0.030701754,157
34,Male,2015,Edgewood,Gunshot,4356,12.5,0.078817734,0.27692788,158
20,Male,2015,Onalaska,Gunshot,6613,16.3,0.133622126,0.103164283,159
25,Male,2015,Salisbury,Gunshot,6493,23.4,0.206338726,0.093983992,160
24,Male,2015,New York,Gunshot,4074,11,0.082673703,0.448705012,161
20,Male,2015,Long Beach,Gunshot,4863,11.3,0.086558761,0.442805539,162
46,Male,2015,Dadeville,Gunshot,4720,20.1,0.078163166,0.15942482,163
42,Male,2015,Apple Valley,Gunshot,4284,23.6,0.086389961,0.141213064,164
43,Male,2015,Las Vegas,Gunshot,4726,19.9,0.163898117,0.217720392,165
41,Male,2015,Houston,Gunshot,4412,14.6,0.081424936,0.168716372,166
59,Male,2015,Kansas City,Gunshot,4411,14.1,0.138454667,0.161811162,167
25,Male,2015,Baltimore,Death in custody,3544,39.1,0.254367575,0.036792453,168
42,Male,2015,San Diego,Gunshot,2674,23,0.090163934,0.362808843,169
64,Male,2015,Tallahassee,Gunshot,1911,36.6,0.091334895,0.358885017,170
22,Male,2015,Chatham,Struck by vehicle,3396,7.7,0.096795291,0.527820122,171
24,Male,2015,Edmond,Gunshot,5383,1.3,0.049786629,0.596791444,172
63,Male,2015,Miami,Gunshot,2650,20.4,0.086882453,0.117714286,173
56,Male,2015,Encinitas,Gunshot,4040,7.5,0.057553957,0.540820096,174
60,Male,2015,Harmony,Gunshot,6460,20.1,0.075280112,0.131186929,175
54,Male,2015,Bay Minette,Gunshot,6971,8.3,0.073079325,0.251100352,176
37,Male,2015,Oklahoma City,Gunshot,5823,31.3,0.04467354,0.294754572,177
22,Male,2015,Navarre,Gunshot,12351,15.8,0.108825481,0.237702807,178
39,Male,2015,Crown Point,Taser,7338,8.8,0.086255656,0.307383628,179
45,Male,2015,Panama City,Gunshot,4239,19.2,0.114788437,0.158741259,180
57,Male,2015,Eatonton,Gunshot,3422,6.6,0.066384181,0.085993241,181
42,Male,2015,Fort Ashby,Gunshot,3255,13.3,0.093187661,0.160032167,182
41,Male,2015,Columbus,Gunshot,0,-,,,183
19,Male,2015,Long Beach,Gunshot,4424,42,0.171334432,0.039807524,184
26,Male,2015,Oklahoma City,Gunshot,3754,37.4,0.12745682,0.068254695,185
34,Male,2015,Iuka,Gunshot,6466,16.1,0.096869245,0.125579342,186
69,Male,2015,Stanford,Struck by vehicle,2143,45.4,0.205128205,0.103820598,187
64,Female,2015,Hackensack,Struck by vehicle,3358,19.4,0.100585418,0.168669131,188
35,Male,2015,Houston,Gunshot,7538,28.3,0.104712042,0.22823219,189
40,Male,2015,Tarboro,Gunshot,2929,24.6,0.195104392,0.149602386,190
19,Male,2015,St Louis,Gunshot,1325,37.6,0.507614213,0.029233871,191
27,Male,2015,Alton,Gunshot,2665,31.2,0.203891051,0.092969204,192
37,Male,2015,Orlando,Gunshot,2537,30.7,0.153279786,0.171372292,193
17,Male,2015,Bay City,Gunshot,1404,40,0.260663507,0.101298701,194
39,Male,2015,Fort Pierce,Gunshot,732,54.2,0.305194805,0.095599393,195
74,Male,2015,Gastonia,Gunshot,4049,33.7,0.19297235,0.045287638,196
