Dato,Hash
72,b4fbfb483309784285f55caac8c8b1fe80cb3b9859917951bdc567d2e873f6e6
73,c69c08d2440611afd5069f358e0205981d7e8650519e4aa8ee1ea73151ebd865
74,0ad94addfe6f40e365ca49c56121683fd251acf89b9d3c5c57af5e51afc865a2
75,96225ddfe5bc4dedf18ae311700bcae51f9833e0038eaad85db6a5b343b19b36
76,bc1cb613f427f3159a47f2455fcb6423cb28d2d38c5f7fadccbf9eee6124f2b5
77,32dcb0a4bfc14b87be6db7f55728fab94b0a99b4093cc28bcfdd9278b5312993
78,c79c3f4fe99b5c6cf89f232fccb24d30082d7dda6cef9d9960a78e6fb2ee1500
79,26242dc1d278886a95f2fe565440af85f32edb38784e4f4ccfb5e88f985f46f3
80,e16646d3e30d3082a87c1bbdf83372c98c4eb294d3287cd4f32ed323e33abbc2
81,0a00a7a1e622932d6b1e9bf83293107160e263dd66f7a846a7d8cd968bbb471c
82,aaccaaa96ea388a2238f422cf9f9528f67407b3d79c16bb40dc5ac9529398103
83,37bcac26bd8bae0e0308c760bc617ca5df7c0bec7c35f03a0bae1abc76f6f233
84,3c1f812f9d40bba0f51de51acf80971b749742616d13a36edeeb3b84eb336633
85,7035cf02b8e985199ce458d798b0b578ca253cf940e38863ff225cca2929f315
86,6e0f5d24998eb5512b3050df46108befb6bf37a42226e0a8069783bd306e5c6a
87,1a1909364bd5df10bd01ff4f2aa023ef1d165550edc58a48c9b4ec6c652f44c4
88,5982730e2a4356408af3ab557654c7255aaa070742e4cc970c06b92abdf396ee
89,88e69d915e5a30f67c4d0d2181d26fdc4e430fa048cde58824a383e35c16d25a
90,37e8f9fcd347cd0b7020fce0e9d3662fb000f03c83c4667fbd118290f4f960fe
91,d48e99a6fb63d667f4cf13169104a9a1c6184507db632bf85b94abbe0d1d3d0a
92,c9879e3e1b798ab7250d14af7e590c1f6f068637c5d47f0c603424352416885f
93,d434cbdde75c26c7954e9530f2cdd83d8be221396393c45e27057dea8617bd8e
94,155edfacf1675b4c49fbf6c90f94e1406c541da9af05bf93f2c160b09fc5865e
95,21e4bb98bc8a1e2eb7fa96ff3bb380c5629e24cf9371d45894e64acd1c1cfc10
96,a13735a074cbb4a7f29199b8ab3ac73f0eb104ec047e2523de64d75b1c3ad3f0
97,8c59eeb91066965357e005d51dc07d16622db046dbbc5296f302a1d99dbf1bcf
98,93add815bdca266f7857e0a110f9fc60c1d629d0b4531d5ac27a618faa81cf63
99,82a737e507074dea5984649e06f8f1672177017a73e9468043542fb16eacf46d
100,2fbc090d98883be836818d3956f150effe87d8c662f1010a4203f7db7f85e7f8
101,720ab8faef2caa70f4d1e25cb86566d1ef71edaa1b859ddc62d2c8759a8df8e5
102,739cf4acf3e8dcc81130d40fc0414c9535f4fd84a708d0e6e08d03fa7c029517
103,cb70dafc496a1f0cbecede8e298132ca0627fcf12f03d86837dd0c58b37b3384
104,7eaeaf5600b374c1248da362d33f881acb8a52fb29f8fbf466b86952e6058e3e
105,656dd85218bb117eaa2a16629652b0dc49ee7207f0d774be2c56cb4315069b81
106,c9e605eb5622cf9849e735739e8d7aff599ec83d1844f95e9fb9ea5a14f19055
107,2c005e06cc705e943ec3100b605e8be0a1e41b65bb543da2fadf4af772a290db
108,deedfb360a10208dfb6a28cebb602a6bb647be8bb4b0176a7212b80f5e9ffaf6
109,c0e14a7c72d9fefa04c7e817d244a126c1c5a58fa9d33a72823b7ed7d2c61475
110,d36d0d03e4de56c7d1f0ce36c06e2165777d4e1121afaa3a318eb37293c1d098
111,247c5f9b5b565a4c68e9f8cb525fb6116f7ba4bdf077a3a8d07a524033dd4062
