name,age,gender,year,city,state,cause,pop,p_income
e9a07030b96ffda520f1e226d6944a4bea42950e3e7e7838ecc52a42eb06e57a,"(14.927, 51.5]",Male,2015,Los Angeles,oeste,Gunshot,"(553.553, 13803.5]",15373
c6196220bbe4d3fdcf267ff457116a0151d2f376e636897da32b5514a70b7ff1,"(14.927, 51.5]",Male,2015,Strong,sur,Gunshot,"(553.553, 13803.5]",17853
e294e13871607e1cc1bb83ea76fd607b622284544e4196fe42594d93e0992309,"(14.927, 51.5]",Male,2015,Rome,sur,Taser,"(553.553, 13803.5]",20248
8a61570f6a74435371c8f563501e68f56d05f37e5ffaeb7056f30a5ec3001aeb,"(14.927, 51.5]",Male,2015,Oklahoma City,centro,Gunshot,"(553.553, 13803.5]",17225
6bc5c8b23be608325ad3df484457beedf6f690fb10afc000bff836bb2b28a663,"(14.927, 51.5]",Male,2015,St Petersburg,sur,Gunshot,"(553.553, 13803.5]",26667
e07f485c0c3118c5eb9296cc388e03ed19983c27a3d8b3e199f02ed880b9b157,"(14.927, 51.5]",Female,2015,Burlington,centro,Gunshot,"(553.553, 13803.5]",15488
3c99d3218187383b1743d72f8932aeea25679e955f213c3372ac71ec769cf95f,"(14.927, 51.5]",Male,2015,Santa Ana,oeste,Gunshot,"(553.553, 13803.5]",19978
74289fc796626ccbf90190572ab194911c5b5b2c2fc2ce020c53fb77b3560db5,"(14.927, 51.5]",Male,2015,Baytown,sur,Gunshot,"(553.553, 13803.5]",18995
d4909eb21bf59f31b2ece3e0c0411877e9987cd0bd1ee68ebb6e08b6fe6ccf63,"(51.5, 88.0]",Male,2015,Atlanta,sur,Struck by vehicle,"(553.553, 13803.5]",14256
918486450487795cda85992a828d74393bdfd95ac60e9a6ed2c741d79ef0ed49,"(14.927, 51.5]",Female,2015,Gastonia,sur,Gunshot,"(553.553, 13803.5]",18843
7d40f43d4ea64c61bc0416eaca573f1b1e201fd9e09060632b690b3a4b334f3d,"(14.927, 51.5]",Male,2015,Albuquerque,oeste,Gunshot,"(553.553, 13803.5]",21170
72511df6a0e8925017d18b1cda8ddbf612839fc31722ffb7327916653dbb1eb5,"(14.927, 51.5]",Male,2015,Bunch,centro,Gunshot,"(553.553, 13803.5]",20901
3c1c7f1621e6f4fe4e3f448adda927a3e0a0faa12f48c2e92bd1fc5ba5479f5d,"(14.927, 51.5]",Male,2015,Washington,este,Gunshot,"(553.553, 13803.5]",86023
bf42865c4418de62180c185fc0c62af40ae1d3511516496ae21d5f29e03c47a8,"(14.927, 51.5]",Male,2015,Palm Bay,sur,Gunshot,"(553.553, 13803.5]",22105
fb1796659d003e2c500af5715e1c6b4a69d2103a826eda85b77ab8178f6f3627,"(14.927, 51.5]",Male,2015,Cleveland,centro,Gunshot,"(553.553, 13803.5]",14560
b68a335787eb19b13ccab7d2f247ab28d0604e96e049837c3fed3e331a1259c0,"(14.927, 51.5]",Male,2015,Victoria,sur,Gunshot,"(553.553, 13803.5]",27813
8141fcbfc71b26c9d29171836cea73bb4d5e706cc008fe530ee3b22f565ca984,"(14.927, 51.5]",Male,2015,Middleton,oeste,Gunshot,"(553.553, 13803.5]",28125
d3113d1e4487423a4bb109518d97ff4f009cc26decffd626f528a94e10e2070c,"(14.927, 51.5]",Male,2015,Los Angeles,oeste,Gunshot,"(553.553, 13803.5]",42931
abcef07f97666e75807d8b74f68cfc08ed506d3a74ea1430d80cecb6fe67eb85,"(14.927, 51.5]",Male,2015,Eugene,oeste,Gunshot,"(553.553, 13803.5]",20407
22988e697c91d28107cd2c776572e8829fb8f6c90c077168170fb5bd96b727a8,"(14.927, 51.5]",Male,2015,South Gate,oeste,Gunshot,"(553.553, 13803.5]",18047
16614ac708571610f23619c53d00a9e8c44d1806c7b400fcd3c3c79d87c98a2e,"(14.927, 51.5]",Male,2015,Glenwood Springs,oeste,Gunshot,"(553.553, 13803.5]",35827
84671ff776a7ddbf1d8143b1b98ad902a17d20395d7fe69ee28bdc3054d1b495,"(14.927, 51.5]",Male,2015,Los Angeles,oeste,Taser,"(553.553, 13803.5]",17893
169d8494ba0e19fa2675e1d0a9968be8d0390d7c93646c1227995479eed7d437,"(14.927, 51.5]",Male,2015,Assaria,centro,Gunshot,"(553.553, 13803.5]",31080
5cdfa600b2fb70360a8374667e4a3895db7098c8d3726b74a1281a6891e00286,"(14.927, 51.5]",Male,2015,Colton,oeste,Gunshot,"(553.553, 13803.5]",25130
23b704b2b52aed1ed6eadaed43c17b81fa4a78667b875a3e5882523bfb6b9ba5,"(14.927, 51.5]",Male,2015,Honolulu,oeste,Gunshot,"(553.553, 13803.5]",35788
bcadb60e717ecaf0d974110811247b2e7b10672d0273f19ad4010966d6aaf984,"(14.927, 51.5]",Male,2015,Elizabethtown,sur,Gunshot,"(553.553, 13803.5]",28556
